[watchdog] 154.54.102.43:18847  alarm after 8 min idle (16 polls of 30s)
[watchdog] timeout mechanism: ssh keepalives (no timeout binary found)
[watchdog] self-test OK, first reading: 0 %
[watchdog 05:55:20] idle 0m (mem 0 MiB)
[watchdog 05:55:54] idle 1m (mem 0 MiB)
[watchdog 05:56:27] idle 1m (mem 0 MiB)
[watchdog 05:57:00] idle 2m (mem 0 MiB)
[watchdog 05:57:34] idle 2m (mem 0 MiB)
[watchdog 05:58:08] idle 3m (mem 0 MiB)
[watchdog 05:58:42] idle 3m (mem 4 MiB)
[watchdog 05:59:16] idle 4m (mem 52665 MiB)
[watchdog 05:59:50] idle 4m (mem 0 MiB)
[watchdog 06:00:24] idle 5m (mem 0 MiB)
[watchdog 06:00:58] idle 5m (mem 0 MiB)
[watchdog 06:01:31] idle 6m (mem 0 MiB)
