experiment,thinking,function,angle_deg,model_answer,calculator_answer,abs_error,verdict,within_0.001,decimals_given,format_exactly_5dp,tokens_generated,token_cap,raw_text
1-degree sweep,OFF,sin,0,0.0,0.0,0.0,PASS,yes,5.0,True,8,24,0.00000
1-degree sweep,OFF,cos,0,1.0,1.0,0.0,PASS,yes,5.0,True,8,24,1.00000
1-degree sweep,OFF,tan,0,0.0,0.0,0.0,PASS,yes,5.0,True,8,24,0.00000
1-degree sweep,OFF,sin,1,0.01745,0.01745240643728351,2.40643728351142e-06,PASS,yes,5.0,True,8,24,0.01745
1-degree sweep,OFF,cos,1,0.99985,0.9998476951563913,2.3048436087469426e-06,PASS,yes,5.0,True,8,24,0.99985
1-degree sweep,OFF,tan,1,0.01746,0.017455064928217585,4.935071782414396e-06,PASS,yes,5.0,True,8,24,0.01746
1-degree sweep,OFF,sin,2,0.0349,0.03489949670250097,5.032974990312744e-07,PASS,yes,5.0,True,8,24,0.03490
1-degree sweep,OFF,cos,2,0.99939,0.9993908270190958,8.270190957615497e-07,PASS,yes,5.0,True,8,24,0.99939
1-degree sweep,OFF,tan,2,0.03492,0.03492076949174773,7.694917477304997e-07,PASS,yes,5.0,True,8,24,0.03492
1-degree sweep,OFF,sin,3,0.05234,0.052335956242943835,4.043757056163e-06,PASS,yes,5.0,True,8,24,0.05234
1-degree sweep,OFF,cos,3,0.99863,0.9986295347545738,4.652454261844241e-07,PASS,yes,5.0,True,8,24,0.99863
1-degree sweep,OFF,tan,3,0.05241,0.05240777928304121,2.2207169587881714e-06,PASS,yes,5.0,True,8,24,0.05241
1-degree sweep,OFF,sin,4,0.06976,0.0697564737441253,3.526255874700124e-06,PASS,yes,5.0,True,8,24,0.06976
1-degree sweep,OFF,cos,4,0.99756,0.9975640502598242,4.050259824195379e-06,PASS,yes,5.0,True,8,24,0.99756
1-degree sweep,OFF,tan,4,0.06993,0.06992681194351041,3.1880564895919727e-06,PASS,yes,5.0,True,8,24,0.06993
1-degree sweep,OFF,sin,5,0.08716,0.08715574274765817,4.2572523418354935e-06,PASS,yes,5.0,True,8,24,0.08716
1-degree sweep,OFF,cos,5,0.99619,0.9961946980917455,4.698091745525268e-06,PASS,yes,5.0,True,8,24,0.99619
1-degree sweep,OFF,tan,5,0.08749,0.08748866352592401,1.3364740759913563e-06,PASS,yes,5.0,True,8,24,0.08749
1-degree sweep,OFF,sin,6,0.10453,0.10452846326765347,1.53673234652707e-06,PASS,yes,5.0,True,8,24,0.10453
1-degree sweep,OFF,cos,6,0.99452,0.9945218953682733,1.8953682733302557e-06,PASS,yes,5.0,True,8,24,0.99452
1-degree sweep,OFF,tan,6,0.1051,0.10510423526567647,4.235265676472144e-06,PASS,yes,5.0,True,8,24,0.10510
1-degree sweep,OFF,sin,7,0.12187,0.12186934340514748,6.565948525300014e-07,PASS,yes,5.0,True,8,24,0.12187
1-degree sweep,OFF,cos,7,0.99255,0.992546151641322,3.848358678060215e-06,PASS,yes,5.0,True,8,24,0.99255
1-degree sweep,OFF,tan,7,0.12278,0.1227845609029046,4.560902904598985e-06,PASS,yes,5.0,True,8,24,0.12278
