function,angle_deg,calculator_answer,model_thinking_OFF,error_OFF,pass_OFF,model_thinking_ON,error_ON,pass_ON,tokens_ON,is_pole
sin,0,0.0,0.0,0.0,True,0.0,0.0,True,50,False
cos,0,1.0,1.0,0.0,True,1.0,0.0,True,50,False
tan,0,0.0,0.0,0.0,True,0.0,0.0,True,50,False
sin,1,0.01745240643728351,0.01745,2.40643728351142e-06,True,0.01745,2.40643728351142e-06,True,143,False
cos,1,0.9998476951563913,0.99985,2.3048436087469426e-06,True,0.99985,2.3048436087469426e-06,True,212,False
tan,1,0.017455064928217585,0.01746,4.935071782414396e-06,True,0.01746,4.935071782414396e-06,True,274,False
sin,2,0.03489949670250097,0.0349,5.032974990312744e-07,True,0.0349,5.032974990312744e-07,True,339,False
cos,2,0.9993908270190958,0.99939,8.270190957615497e-07,True,0.99939,8.270190957615497e-07,True,193,False
tan,2,0.03492076949174773,0.03492,7.694917477304997e-07,True,0.03492,7.694917477304997e-07,True,287,False
sin,3,0.052335956242943835,0.05234,4.043757056163e-06,True,0.05234,4.043757056163e-06,True,284,False
cos,3,0.9986295347545738,0.99863,4.652454261844241e-07,True,0.99863,4.652454261844241e-07,True,226,False
tan,3,0.05240777928304121,0.05241,2.2207169587881714e-06,True,0.05241,2.2207169587881714e-06,True,424,False
sin,4,0.0697564737441253,0.06976,3.526255874700124e-06,True,0.06976,3.526255874700124e-06,True,237,False
cos,4,0.9975640502598242,0.99756,4.050259824195379e-06,True,0.99756,4.050259824195379e-06,True,221,False
tan,4,0.06992681194351041,0.06993,3.1880564895919727e-06,True,0.06993,3.1880564895919727e-06,True,584,False
sin,5,0.08715574274765817,0.08716,4.2572523418354935e-06,True,0.08716,4.2572523418354935e-06,True,249,False
cos,5,0.9961946980917455,0.99619,4.698091745525268e-06,True,0.99619,4.698091745525268e-06,True,136,False
tan,5,0.08748866352592401,0.08749,1.3364740759913563e-06,True,0.08749,1.3364740759913563e-06,True,171,False
sin,6,0.10452846326765347,0.10453,1.53673234652707e-06,True,0.10453,1.53673234652707e-06,True,94,False
cos,6,0.9945218953682733,0.99452,1.8953682733302557e-06,True,0.99452,1.8953682733302557e-06,True,172,False
tan,6,0.10510423526567647,0.1051,4.235265676472144e-06,True,0.1051,4.235265676472144e-06,True,312,False
sin,7,0.12186934340514748,0.12187,6.565948525300014e-07,True,0.12187,6.565948525300014e-07,True,340,False
cos,7,0.992546151641322,0.99255,3.848358678060215e-06,True,0.99255,3.848358678060215e-06,True,260,False
tan,7,0.1227845609029046,0.12278,4.560902904598985e-06,True,0.12278,4.560902904598985e-06,True,236,False
sin,8,0.13917310096006544,0.13917,3.100960065449687e-06,True,0.13917,3.100960065449687e-06,True,180,False
cos,8,0.9902680687415704,0.99027,1.9312584296216073e-06,True,0.99027,1.9312584296216073e-06,True,238,False
tan,8,0.14054083470239145,1.40541,1.2648691652976085,False,0.14054,8.347023914556662e-07,True,218,False
sin,9,0.15643446504023087,0.15643,4.465040230855477e-06,True,0.15643,4.465040230855477e-06,True,165,False
cos,9,0.9876883405951378,0.98769,1.6594048621865198e-06,True,0.98769,1.6594048621865198e-06,True,228,False
tan,9,0.15838444032453627,0.15838,4.440324536281182e-06,True,0.15838,4.440324536281182e-06,True,244,False
sin,10,0.17364817766693033,0.17365,1.8223330696676143e-06,True,0.17365,1.8223330696676143e-06,True,80,False
cos,10,0.984807753012208,0.98481,2.2469877919428782e-06,True,0.98481,2.2469877919428782e-06,True,78,False
tan,10,0.17632698070846498,0.17633,3.019291535011348e-06,True,0.17633,3.019291535011348e-06,True,82,False
sin,11,0.1908089953765448,0.19081,1.0046234552030242e-06,True,0.19081,1.0046234552030242e-06,True,166,False
cos,11,0.981627183447664,0.98163,2.816552336026845e-06,True,0.98163,2.816552336026845e-06,True,298,False
tan,11,0.19438030913771848,0.19438,3.0913771847940197e-07,True,0.19438,3.0913771847940197e-07,True,234,False
sin,12,0.20791169081775934,0.20791,1.6908177593311091e-06,True,0.20791,1.6908177593311091e-06,True,200,False
cos,12,0.9781476007338057,0.97815,2.399266194275107e-06,True,0.97815,2.399266194275107e-06,True,197,False
tan,12,0.21255656167002213,0.21256,3.438329977872856e-06,True,0.21256,3.438329977872856e-06,True,354,False
sin,13,0.224951054343865,0.22495,1.0543438649923687e-06,True,0.22495,1.0543438649923687e-06,True,235,False
cos,13,0.9743700647852352,0.97437,6.478523528752334e-08,True,0.97437,6.478523528752334e-08,True,214,False
tan,13,0.23086819112556312,0.23087,1.8088744368760512e-06,True,0.23087,1.8088744368760512e-06,True,347,False
sin,14,0.24192189559966773,0.24192,1.8955996677338938e-06,True,0.24192,1.8955996677338938e-06,True,238,False
cos,14,0.9702957262759965,0.9703,4.273724003578394e-06,True,0.9703,4.273724003578394e-06,True,247,False
tan,14,0.24932800284318068,0.24933,1.997156819311119e-06,True,0.24933,1.997156819311119e-06,True,430,False
sin,15,0.25881904510252074,0.25882,9.548974792550347e-07,True,0.25882,9.548974792550347e-07,True,90,False
cos,15,0.9659258262890683,0.96593,4.173710931643093e-06,True,0.96593,4.173710931643093e-06,True,87,False
tan,15,0.2679491924311227,0.26795,8.075688773256928e-07,True,0.26795,8.075688773256928e-07,True,89,False
sin,16,0.27563735581699916,0.27564,2.6441830008328004e-06,True,0.27564,2.6441830008328004e-06,True,398,False
cos,16,0.9612616959383189,0.96126,1.6959383188908106e-06,True,0.96126,1.6959383188908106e-06,True,291,False
tan,16,0.2867453857588079,0.28675,4.614241192080204e-06,True,0.28675,4.614241192080204e-06,True,409,False
sin,17,0.29237170472273677,0.29237,1.7047227367505968e-06,True,0.29237,1.7047227367505968e-06,True,210,False
cos,17,0.9563047559630354,0.9563,4.755963035396604e-06,True,0.9563,4.755963035396604e-06,True,432,False
tan,17,0.3057306814586604,0.30573,6.814586603898221e-07,True,0.30573,6.814586603898221e-07,True,223,False
sin,18,0.3090169943749474,0.30902,3.0056250526211414e-06,True,0.30902,3.0056250526211414e-06,True,122,False
cos,18,0.9510565162951535,0.95106,3.4837048464853027e-06,True,0.95106,3.4837048464853027e-06,True,115,False
tan,18,0.3249196962329063,0.32492,3.037670937011683e-07,True,0.32492,3.037670937011683e-07,True,202,False
sin,19,0.3255681544571567,0.32557,1.8455428433261645e-06,True,0.32557,1.8455428433261645e-06,True,223,False
cos,19,0.9455185755993168,0.94552,1.4244006831809486e-06,True,0.94552,1.4244006831809486e-06,True,364,False
tan,19,0.34432761328966527,0.34433,2.386710334756348e-06,True,0.34433,2.386710334756348e-06,True,323,False
sin,20,0.3420201433256687,0.34202,1.433256687222162e-07,True,0.34202,1.433256687222162e-07,True,79,False
cos,20,0.9396926207859084,0.93969,2.6207859084026452e-06,True,0.93969,2.6207859084026452e-06,True,132,False
tan,20,0.36397023426620234,0.36397,2.3426620232580575e-07,True,0.36397,2.3426620232580575e-07,True,77,False
sin,21,0.35836794954530027,0.35837,2.0504546997535122e-06,True,0.35837,2.0504546997535122e-06,True,149,False
cos,21,0.9335804264972017,0.93358,4.264972017775648e-07,True,0.93358,4.264972017775648e-07,True,246,False
tan,21,0.3838640350354158,0.38386,4.035035415794752e-06,True,0.38386,4.035035415794752e-06,True,316,False
sin,22,0.374606593415912,0.37461,3.406584087983777e-06,True,0.37461,3.406584087983777e-06,True,226,False
cos,22,0.9271838545667874,0.92718,3.854566787420133e-06,True,0.92718,3.854566787420133e-06,True,243,False
tan,22,0.4040262258351568,0.40403,3.7741648432065844e-06,True,0.40403,3.7741648432065844e-06,True,260,False
sin,23,0.39073112848927377,0.39073,1.1284892737495333e-06,True,0.39073,1.1284892737495333e-06,True,188,False
cos,23,0.9205048534524404,0.9205,4.853452440389816e-06,True,0.9205,4.853452440389816e-06,True,203,False
tan,23,0.42447481620960476,0.42447,4.816209604741051e-06,True,8e-05,0.42439481620960473,False,2048,False
sin,24,0.4067366430758002,0.40674,3.356924199782174e-06,True,0.40674,3.356924199782174e-06,True,228,False
cos,24,0.9135454576426009,0.91355,4.542357399106578e-06,True,0.91355,4.542357399106578e-06,True,286,False
tan,24,0.4452286853085362,0.44523,1.31469146380514e-06,True,0.44523,1.31469146380514e-06,True,230,False
sin,25,0.42261826174069944,0.42262,1.738259300554379e-06,True,0.42262,1.738259300554379e-06,True,79,False
cos,25,0.9063077870366499,0.90631,2.212963350012309e-06,True,0.90631,2.212963350012309e-06,True,78,False
tan,25,0.4663076581549986,0.46631,2.341845001418985e-06,True,0.46631,2.341845001418985e-06,True,95,False
sin,26,0.4383711467890774,0.43837,1.1467890774219391e-06,True,0.43837,1.1467890774219391e-06,True,211,False
cos,26,0.898794046299167,0.89879,4.046299167059786e-06,True,0.89879,4.046299167059786e-06,True,249,False
tan,26,0.48773258856586144,0.48773,2.588565861438852e-06,True,0.48773,2.588565861438852e-06,True,237,False
sin,27,0.45399049973954675,0.45399,4.997395467443155e-07,True,0.45399,4.997395467443155e-07,True,171,False
cos,27,0.8910065241883679,0.89101,3.4758116320698917e-06,True,0.89101,3.4758116320698917e-06,True,332,False
tan,27,0.5095254494944288,0.50953,4.5505055712435905e-06,True,0.50953,4.5505055712435905e-06,True,294,False
sin,28,0.4694715627858908,0.46947,1.5627858908073833e-06,True,0.46947,1.5627858908073833e-06,True,180,False
cos,28,0.882947592858927,0.88295,2.4071410730241993e-06,True,0.88295,2.4071410730241993e-06,True,194,False
tan,28,0.5317094316614788,0.53171,5.683385212451597e-07,True,0.53171,5.683385212451597e-07,True,141,False
sin,29,0.48480962024633706,0.48481,3.7975366296016944e-07,True,0.48481,3.7975366296016944e-07,True,306,False
cos,29,0.8746197071393957,0.87462,2.928606042118531e-07,True,0.87462,2.928606042118531e-07,True,181,False
tan,29,0.554309051452769,0.55431,9.485472309833654e-07,True,0.55431,9.485472309833654e-07,True,314,False
sin,30,0.49999999999999994,0.5,5.551115123125783e-17,True,0.5,5.551115123125783e-17,True,51,False
cos,30,0.8660254037844387,0.86603,4.596215561258887e-06,True,0.86603,4.596215561258887e-06,True,89,False
tan,30,0.5773502691896257,0.57735,2.6918962570121607e-07,True,0.57735,2.6918962570121607e-07,True,86,False
sin,31,0.5150380749100542,0.51504,1.9250899458977955e-06,True,0.51504,1.9250899458977955e-06,True,312,False
cos,31,0.8571673007021123,0.85717,2.6992978876538842e-06,True,0.85717,2.6992978876538842e-06,True,189,False
tan,31,0.6008606190275604,0.60086,6.190275604334161e-07,True,0.60086,6.190275604334161e-07,True,319,False
sin,32,0.5299192642332049,0.52992,7.357667950458335e-07,True,0.52992,7.357667950458335e-07,True,300,False
cos,32,0.848048096156426,0.84805,1.9038435740137416e-06,True,0.84805,1.9038435740137416e-06,True,190,False
tan,32,0.6248693519093275,0.62487,6.480906725725433e-07,True,0.62487,6.480906725725433e-07,True,198,False
sin,33,0.5446390350150271,0.54464,9.649849729287396e-07,True,0.54464,9.649849729287396e-07,True,175,False
