[watchdog] 64.247.196.128:13375  alarm after 10 min idle (20 polls of 30s)
[watchdog] timeout mechanism: ssh keepalives (no timeout binary found)
[watchdog] self-test OK, first reading: 0 %
[watchdog 04:04:43] idle 0m (mem 0 MiB)
[watchdog 04:05:18] idle 1m (mem 0 MiB)
[watchdog 04:05:51] idle 1m (mem 0 MiB)
[watchdog 04:06:26] idle 2m (mem 0 MiB)
[watchdog 04:06:59] idle 2m (mem 0 MiB)
[watchdog 04:07:32] idle 3m (mem 0 MiB)
[watchdog 04:08:06] idle 3m (mem 0 MiB)
[watchdog 04:08:39] idle 4m (mem 0 MiB)
[watchdog 04:09:13] idle 4m (mem 0 MiB)
[watchdog 04:09:46] idle 5m (mem 52213 MiB)
[watchdog 04:10:19] idle 5m (mem 52333 MiB)
[watchdog 04:10:53] working again: 73% (was idle 11 polls)
[watchdog 05:59:01] idle 0m (mem 0 MiB)
[watchdog 05:59:34] idle 1m (mem 0 MiB)
[watchdog 06:00:08] idle 1m (mem 0 MiB)
